,zipcode,category,count,average_rating,average_review_count
763,15088,All Restaurants,0,,
764,15088,American,0,,
765,15088,Asian,0,,
766,15088,Latin,0,,
767,15088,Indian,0,,
768,15088,Bar,0,,
769,15088,Grocery,0,,
770,15122,All Restaurants,0,,
771,15122,American,0,,
772,15122,Asian,0,,
773,15122,Latin,0,,
774,15122,Indian,0,,
775,15122,Bar,0,,
776,15122,Grocery,0,,
777,15089,All Restaurants,0,,
778,15089,American,0,,
779,15089,Asian,0,,
780,15089,Latin,0,,
781,15089,Indian,0,,
782,15089,Bar,0,,
783,15089,Grocery,0,,
784,15090,All Restaurants,0,,
785,15090,American,0,,
786,15090,Asian,0,,
787,15090,Latin,0,,
788,15090,Indian,0,,
789,15090,Bar,0,,
790,15090,Grocery,0,,
791,15148,All Restaurants,0,,
792,15148,American,0,,
793,15148,Asian,0,,
794,15148,Latin,0,,
795,15148,Indian,0,,
796,15148,Bar,0,,
797,15148,Grocery,0,,
