"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-09-30,"98271","WA","Seattle-Tacoma-Bellevue","Snohomish","Marysville",3762,1692,0,0.000591366055588409,0.0323367907260525,1226
2018-09-30,"92555","CA","Riverside-San Bernardino-Ontario","Riverside","Moreno Valley",3763,1585,0.00189633375474083,-0.00314465408805032,0.0359477124183007,384
2018-09-30,"64111","MO","Kansas City","Jackson","Kansas City",3764,1040,0.000962463907603465,-0.000960614793467819,-0.0388170055452865,2557
2018-09-30,"20175","VA","Washington-Arlington-Alexandria","Loudoun","Leesburg",3765,1848,0,0,0.0272373540856031,3421
2018-09-30,"33607","FL","Tampa-St. Petersburg-Clearwater","Hillsborough","Tampa",3766,1292,0,0.000774593338497289,0.00858704137392662,1375
2018-09-30,"85340","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Litchfield Park",3767,1282,-0.000779423226812159,-0.00388500388500389,0.0431244914564687,805
2018-09-30,"37379","TN","Chattanooga","Hamilton","Soddy-Daisy",3768,889,0.00225479143179256,0.00793650793650794,0.0230149597238205,172
2018-09-30,"25701","WV","Huntington-Ashland","Cabell","Huntington",3769,748,0,0,-0.0900243309002433,921
2018-09-30,"67801","KS","Dodge City","Ford","Dodge City",3770,702,0.0014265335235378,-0.00284090909090909,-0.091849935316947,200
2018-09-30,"11379","NY","New York-Newark-Jersey City","Queens","New York",3771,2196,0.00136798905608755,0.00503432494279176,-0.0235660293463762,4692
2018-09-30,"06851","CT","Bridgeport-Stamford-Norwalk","Fairfield","Norwalk",3772,1942,0,0.000515198351365276,-0.010697911360163,3230
2018-09-30,"98146","WA","Seattle-Tacoma-Bellevue","King","Burien",3773,1625,0.00123228589032656,-0.00184275184275184,-0.0401653868871825,747
2018-09-30,"63118","MO","St. Louis","Saint Louis City","Saint Louis",3774,773,0,-0.00514800514800515,-0.0409429280397022,4164
2018-09-30,"06776","CT","Torrington","Litchfield","New Milford",3775,1235,0,-0.0024232633279483,-0.0418929402637704,2718
2018-09-30,"29316","SC","Spartanburg","Spartanburg","Boiling Springs",3776,798,-0.0025,-0.0256410256410256,-0.222222222222222,231
2018-09-30,"79107","TX","Amarillo","Potter","Amarillo",3777,692,0.00144717800289436,-0.00144300144300144,-0.0635994587280108,237
2018-09-30,"75092","TX","Sherman-Denison","Grayson","Sherman",3778,972,0,-0.00102774922918808,0.0210084033613445,163
2018-09-30,"90601","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Whittier",3779,2199,0,-0.00136239782016349,0.00456829602558246,2167
2018-09-30,"04901","ME","Augusta-Waterville","Kennebec","Waterville",3780,937,-0.00106609808102345,-0.00846560846560847,0.128915662650602,3170
2018-09-30,"14043","NY","Buffalo-Cheektowaga-Niagara Falls","Erie","Depew",3781,938,0,0.00213675213675214,0.0376106194690266,1076
2018-09-30,"33056","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade","Miami Gardens",3782,1547,-0.000645994832041344,-0.00322164948453608,0.000646830530401035,1340
2018-09-30,"61615","IL","Peoria","Peoria","Peoria",3783,1199,0,0,0.0274207369323051,849
2018-09-30,"94124","CA","San Francisco-Oakland-Hayward","San Francisco","San Francisco",3784,3721,-0.00187768240343348,-0.00428150923200428,-0.0536622583926755,1326
2018-09-30,"38114","TN","Memphis","Shelby","Memphis",3785,599,-0.00332778702163062,-0.0196399345335516,-0.0431309904153355,832
2018-09-30,"33755","FL","Tampa-St. Petersburg-Clearwater","Pinellas","Clearwater",3786,1135,-0.000880281690140845,-0.000880281690140845,-0.0139009556907037,2018
2018-09-30,"83713","ID","Boise City","Ada","Boise",3787,1131,0.000884955752212389,0,0.000884955752212389,321
2018-09-30,"48238","MI","Detroit-Warren-Dearborn","Wayne","Detroit",3788,761,-0.00652741514360313,-0.0167958656330749,-0.0104031209362809,151
2018-09-30,"60134","IL","Chicago-Naperville-Elgin","Kane","Geneva",3789,1635,0.000611995104039168,0.00122473974280465,-0.0197841726618705,508
2018-09-30,"97005","OR","Portland-Vancouver-Hillsboro","Washington","Beaverton",3790,1333,0,-0.00224550898203593,-0.0220102714600147,1168
2018-09-30,"20603","MD","Washington-Arlington-Alexandria","Charles","Waldorf",3791,1689,0,0,0.0286236297198538,2605
2018-09-30,"33145","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade","Miami",3792,1840,-0.00432900432900433,-0.0181430096051227,-0.0617032126466089,4988
2018-09-30,"80005","CO","Denver-Aurora-Lakewood","Jefferson","Arvada",3793,1605,0.00187265917602996,0.00375234521575985,0.0341494845360825,1642
2018-09-30,"15044","PA","Pittsburgh","Allegheny","Richland",3794,1491,-0.00467289719626168,-0.00930232558139535,-0.0533333333333333,1940
2018-09-30,"53222","WI","Milwaukee-Waukesha-West Allis","Milwaukee","Milwaukee",3795,841,-0.00118764845605701,0.00119047619047619,-0.00825471698113208,1566
2018-09-30,"48076","MI","Detroit-Warren-Dearborn","Oakland","Southfield",3796,1199,0,0,-0.0338436744560838,1293
2018-09-30,"48335","MI","Detroit-Warren-Dearborn","Oakland","Farmington Hills",3797,1796,-0.000556483027267668,-0.00277623542476402,-0.0212534059945504,1403
2018-09-30,"60601","IL","Chicago-Naperville-Elgin","Cook","Chicago",3798,1855,-0.00161463939720129,-0.0037593984962406,-0.0654911838790932,9366
2018-09-30,"28001","NC","Albemarle","Stanly","Albemarle",3799,865,0.00348027842227378,0.00815850815850816,-0.0259009009009009,164
2018-09-30,"44460","OH","Salem","Columbiana","Salem",3800,747,-0.00133689839572192,-0.00133689839572192,-0.00928381962864721,816
