"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-09-30,87050,"66032","KS",,"Anderson","Garnett",11338,68300,-0.00582241630276565,-0.00726744186046512,0.0194029850746269,,,"2007-03","2007-Q1",73400,-0.0694822888283379,"2003-08"
2018-09-30,68198,"24538","VA","Lynchburg","Campbell","Concord",11339,141900,-0.00140745953553835,0.000705218617771509,0.00353606789250354,,,"2018-08","2018-Q3",142100,-0.00140745953553835,"2018-07"
2018-09-30,73107,"34449","FL",,"Levy","Inglis",11340,118600,0.010221465076661,0.0322019147084421,0.127376425855513,,,"2006-07","2006-Q3",183000,-0.351912568306011,"2005-03"
2018-09-30,85902,"63068","MO","St. Louis","Franklin","New Haven",11341,165100,0.00793650793650794,0.0248292985723153,0.120081411126187,,,"2018-09","2018-Q3",165100,0,"2018-09"
2018-09-30,82168,"55315","MN","Minneapolis-St. Paul-Bloomington","Carver","Carver",11342,338900,0.00206978119455943,0.00743162901307967,0.0338621110433191,,,"2018-09","2018-Q3",338900,0,"2018-09"
2018-09-30,87893,"68157","NE","Omaha-Council Bluffs","Douglas","Omaha",11343,165200,0.00303582270795386,0.0184956843403206,0.0940397350993377,,,"2018-09","2018-Q3",165200,0,"2018-09"
2018-09-30,82976,"56633","MN","Brainerd","Cass","Cass Lake",11344,118200,0.00424808836023789,0.0154639175257732,0.103641456582633,,,"2018-09","2018-Q3",118200,0,"2018-09"
2018-09-30,58776,"02468","MA","Boston-Cambridge-Newton","Middlesex","Newton",11345,1446800,0.00152291291707047,0.00318957148800444,0.0106174909192512,,,"2018-03","2018-Q1",1467400,-0.0140384353277907,"2017-11"
2018-09-30,98052,"95222","CA",,"Calaveras","Murphys",11346,299300,0.00268006700167504,0.00133824021411843,0.0931336742147553,,,"2006-07","2006-Q3",365300,-0.180673419107583,"2005-01"
2018-09-30,77577,"45315","OH","Dayton","Montgomery","Clayton",11347,156900,0.00448143405889885,0.028178243774574,0.0956703910614525,,,"2018-09","2018-Q3",156900,0,"2018-09"
2018-09-30,60530,"07014","NJ","New York-Newark-Jersey City","Passaic","Clifton",11348,356200,0.00621468926553672,-0.00558347292015634,0.0651913875598086,,,"2006-09","2006-Q3",391000,-0.089002557544757,"2005-05"
2018-09-30,62725,"12758","NY",,"Sullivan","Rockland",11349,142300,0.0142551674982181,0.0334059549745824,0.0186113099498926,,,"2007-01","2007-Q1",168100,-0.15348007138608,"2005-11"
2018-09-30,60681,"07457","NJ","New York-Newark-Jersey City","Morris","Riverdale",11350,317700,0.00189214758751183,0.0137204850031908,0.0212150433944069,,,"2007-08","2007-Q3",374500,-0.151668891855808,"2005-05"
2018-09-30,74820,"38451","TN","Nashville-Davidson--Murfreesboro--Franklin","Maury","Culleoka",11351,188900,0.00159066808059385,0.00425305688463583,0.095707656612529,,,"2018-09","2018-Q3",188900,0,"2018-09"
2018-09-30,70967,"30222","GA","Atlanta-Sandy Springs-Roswell","Meriwether","Greenville",11352,87300,0.00576036866359447,0.0186697782963827,0.145669291338583,,,"2018-09","2018-Q3",87300,0,"2018-09"
2018-09-30,74397,"37640","TN",,"Johnson","Butler",11353,98500,0.0239085239085239,0.0523504273504274,0.150700934579439,,,"2018-09","2018-Q3",98500,0,"2018-09"
2018-09-30,70881,"30104","GA","Cedartown","Polk","Aragon",11354,91000,-0.00437636761487965,-0.0130151843817787,0.0606060606060606,,,"2005-01","2005-Q1",112700,-0.192546583850932,
2018-09-30,99291,"97446","OR","Albany","Linn","Harrisburg",11355,248500,-0.00160707111289675,-0.00877542879936179,0.0637842465753425,,,"2018-06","2018-Q2",250700,-0.00877542879936179,"2018-05"
2018-09-30,73291,"35054","AL","Birmingham-Hoover","Shelby","Vincent",11356,253300,0.0123900879296563,0.0255060728744939,0.106596767147226,,,"2018-09","2018-Q3",253300,0,"2018-09"
2018-09-30,78899,"48005","MI","Detroit-Warren-Dearborn","Macomb","Armada",11357,222400,-0.011994669035984,-0.0271216097987752,0.0656444657402971,,,"2018-06","2018-Q2",228600,-0.0271216097987752,"2018-03"
2018-09-30,91571,"76802","TX","Brownwood","Brown","Early",11358,105200,-0.0103480714957667,-0.0623885918003565,-0.103154305200341,,,"2018-04","2018-Q2",117800,-0.106960950764007,"2015-10"
2018-09-30,69570,"27874","NC","Roanoke Rapids","Halifax","Scotland Neck",11359,56000,0.00719424460431655,0.0526315789473684,-0.00709219858156028,,,"2007-11","2007-Q4",64200,-0.127725856697819,"2006-04"
2018-09-30,72850,"33839","FL","Lakeland-Winter Haven","Polk","Eagle Lake",11360,132000,-0.00151285930408472,0.0200927357032458,0.137931034482759,,,"2007-05","2007-Q2",142500,-0.0736842105263158,"2006-09"
2018-09-30,70141,"28692","NC","Boone","Watauga","Vilas",11361,203700,0.00443786982248521,0.0144422310756972,-0.0441107461285781,,,"2007-10","2007-Q4",232700,-0.124623979372583,"2006-03"
2018-09-30,82767,"56307","MN","St. Cloud","Stearns","Albany",11362,187500,0.00536193029490617,0.023471615720524,0.0751146788990826,,,"2006-02","2006-Q1",193300,-0.0300051733057424,"2005-12"
2018-09-30,59822,"05101","VT",,"Windham","Bellows Falls",11363,131700,0.00688073394495413,0.00919540229885057,0.0345640219952867,,,"2006-07","2006-Q3",140100,-0.0599571734475375,"2005-12"
2018-09-30,67412,"22840","VA","Harrisonburg","Rockingham","McGaheysville",11364,234100,0.00385934819897084,0.0204882301656495,0.049305244285074,,,"2006-09","2006-Q3",246400,-0.0499188311688312,"2006-05"
2018-09-30,89064,"71403","LA","Fort Polk South","Vernon","Anacoco",11365,105400,0.00957854406130268,0.0518962075848303,0.200455580865604,,,"2006-09","2006-Q3",116200,-0.0929432013769363,"2004-12"
2018-09-30,98536,"95987","CA",,"Colusa","Williams",11366,235800,0.0120171673819742,0.0433628318584071,0.167326732673267,,,"2006-06","2006-Q2",309200,-0.23738680465718,"2005-02"
2018-09-30,87454,"67101","KS","Wichita","Sedgwick","Maize",11367,187400,0.00374933047670059,0.00160342063067878,0.0296703296703297,,,"2018-03","2018-Q1",189200,-0.00951374207188161,"2018-01"
2018-09-30,82531,"55972","MN","Winona","Winona","Saint Charles",11368,183500,0.0138121546961326,0.0326392796848621,0.0588574725908829,,,"2018-09","2018-Q3",183500,0,"2018-09"
2018-09-30,62407,"12122","NY","Albany-Schenectady-Troy","Schoharie","Middleburgh",11369,122200,0.00741962077493817,0.0174854288093256,0.0338409475465313,,,"2007-07","2007-Q3",131300,-0.0693069306930693,"2006-04"
2018-09-30,72890,"33890","FL","Wauchula","Hardee","Zolfo Springs",11370,77800,0.00646830530401035,0.0414993306559572,0.166416791604198,,,"2007-05","2007-Q2",90500,-0.140331491712707,"2006-07"
2018-09-30,61091,"08525","NJ","Trenton","Mercer","Hopewell",11371,424600,0.00283419933868682,0.00473260766682442,0.0184696569920844,,,"2006-07","2006-Q3",479400,-0.114309553608678,"2005-05"
2018-09-30,77238,"44621","OH","New Philadelphia-Dover","Tuscarawas","Dennison",11372,77100,0.00784313725490196,0.0171503957783641,0.107758620689655,,,"2005-08","2005-Q3",104700,-0.263610315186246,
2018-09-30,80931,"52314","IA","Cedar Rapids","Linn","Mount Vernon",11373,221000,0.0119047619047619,0.0356138706654171,0.122397155916709,,,"2018-09","2018-Q3",221000,0,"2018-09"
2018-09-30,74082,"36875","AL","Columbus","Russell","Seale",11374,116900,0.00949913644214162,0.0272407732864675,0.0354295837023915,,,"2007-10","2007-Q4",130900,-0.106951871657754,"2006-09"
2018-09-30,82538,"55981","MN","Rochester","Wabasha","Wabasha",11375,189700,0.00583244962884412,0.0171581769436997,0.0354803493449782,,,"2018-09","2018-Q3",189700,0,"2018-09"
2018-09-30,90919,"75452","TX","Bonham","Fannin","Leonard",11376,113400,0.0134048257372654,0.029038112522686,0.0667920978363123,,,"2018-09","2018-Q3",113400,0,"2018-09"
2018-09-30,67046,"21791","MD","Washington-Arlington-Alexandria","Frederick","Union Bridge",11377,271400,0.00481303221029248,-0.00257258360896729,0.0434448289119569,,,"2006-08","2006-Q3",318500,-0.147880690737834,"2005-02"
2018-09-30,60591,"07082","NJ","New York-Newark-Jersey City","Morris","Montville",11378,552200,0.00181422351233672,0.0158204562178072,0.0329218106995885,,,"2006-06","2006-Q2",641000,-0.138533541341654,"2005-02"
2018-09-30,71244,"30629","GA","Athens-Clarke County","Madison","Comer",11379,122300,0.00493015612161052,0.0065843621399177,0.0225752508361204,,,"2018-03","2018-Q1",123100,-0.00649878147847279,"2018-02"
2018-09-30,65711,"19031","PA","Philadelphia-Camden-Wilmington","Montgomery","Flourtown",11380,365000,0.00274725274725275,0.008008837337752,0.0398860398860399,,,"2018-09","2018-Q3",365000,0,"2018-09"
2018-09-30,89973,"73150","OK","Oklahoma City","Oklahoma","Oklahoma City",11381,238000,0.00549218419940853,0.00506756756756757,0.054030115146147,,,"2018-09","2018-Q3",238000,0,"2018-09"
2018-09-30,90354,"74337","OK",,"Mayes","Chouteau",11382,113900,0.0178731009830206,0.0585501858736059,0.103682170542636,,,"2018-09","2018-Q3",113900,0,"2018-09"
2018-09-30,75482,"40023","KY","Louisville/Jefferson County","Jefferson","Louisville",11383,329300,0.00734169470786173,0.0245799626633479,0.0229885057471264,,,"2018-09","2018-Q3",329300,0,"2018-09"
2018-09-30,79189,"48416","MI",,"Sanilac","Brown City",11384,109700,0.0157407407407407,0.0671206225680934,0.0447619047619048,,,"2005-07","2005-Q3",156400,-0.298593350383632,"2002-08"
2018-09-30,65071,"17501","PA","Lancaster","Lancaster","Akron",11385,190900,-0.00469238790406674,-0.00469238790406674,0.0437397484964461,,,"2018-07","2018-Q3",192200,-0.00676378772112383,"2018-05"
