"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"10528","Harrison","NY","New York-Newark-Jersey City","Westchester County",492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050,2200,2200,2275,2375,2200,2425,2325,2450,2662.5,2500,2300,2300,2147.5,2197.5,2300,2400,2400,2350,2195,2250,2275,2450
"02113","Boston","MA","Boston-Cambridge-Newton","Suffolk County",493,,,,,,,,,,,,,,,2450,2400,2400,2400,2400,2400,2350,2250,2425,2400,2450,2650,2400,2400,2350,2400,2550,2600,2400,2450,2497.5,2600,2500,2500,2400,2400,2350,2400,2400,2400,2450,2400,2500,2500,2400,2400,2425,2500,2400,2500,2500,2550,2500,2500,2500,2500,2300,2350,2375,2400,2400,2500,2500,2500,2500,2500,2400,2600,2412.5,2500,2400,2500,2500,2700,2775,2725,2700,2755,2780,2650,2695,2600,2600,2500,2500,2700,2750,2750,2700,2675,2700,2772.5,2750
"02465","Newton","MA","Boston-Cambridge-Newton","Middlesex County",494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2475,2675,2600,2595,2600,2550,2500,2675,2650,2825,3000,2995,2500,2700,2750
"11109","New York","NY","New York-Newark-Jersey City","New York County",495,,,,,,,,,,2647.5,2687.5,2750,2642.5,2720,2675,2625,2730,2650,2687.5,2810,2870,2885,2820,2795,2825,2900,2800,2800,2897.5,2930,2880,2935,2910,2900,2850,2835,2850,2907.5,2895,2915,2920,2945,2900,2875,2825,2850,2897.5,3065,3095,3105,3155,3112.5,3275,3200,3095,3080,3100,3150,3150,3167.5,3100,3045,3055,3070,3240,3200,3195,3145,3300,3107.5,3200,3177.5,3212.5,2995,3280,3295,3350,3375,3395,3300,3350,3425,3347.5,3342.5,3226,3033.5,2972,3225,3225,3300,3280,3487.5,3595,3598,3640,3675,3601
"02460","Newton","MA","Boston-Cambridge-Newton","Middlesex County",496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2499.5,2499,2499.5,2500,2600,2600,2600,2600,2600,2500,2450,2550,2500,2550,2500,2775,2800,2692.5,2637.5,2500,2300,2300
"10007","New York","NY","New York-Newark-Jersey City","New York County",497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5495,5895,5350,4950,4950,5295,4797.5,5445,5107.5,5647.5,5195,5395,5445,4995,4995,4772.5,4745,4900,4947.5,4875,4823,5000,4922.5,4850,4997.5,5095,5300,5025,5850,6400,6925,6450,6500,6168,6200,5495,5455,5487.5,5037,5350,5164.5,5045,5152.5,5262.5,5300,5300,5402.5,5800,5495,4995
"02466","Newton","MA","Boston-Cambridge-Newton","Middlesex County",498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2160,1937.5,2100,2180,1975,2025,2100,2100,2060,2027.5,2025,2050,2050,2100,2125,2150,2125,2137.5
"10006","New York","NY","New York-Newark-Jersey City","New York County",499,,,,,,2785,2825,2792.5,2850,2780,2750,2785,2800,2835,2800,2800,2880,2900,2925,2900,2975,2995,3025,3072.5,3000,3062.5,2995,2950,2902.5,2975,2850,2975,2995,2995,2992.5,3000,3000,2992.5,3000,3000,3000,3000,2995,2950,2950,3200,3150,3197.5,3200,3200,3200,3145,3295,3325,3325,3320,3235,3300,3300,3320,3375,3395,3313,3286.5,3350,3407,3375,3340,3450,3377.5,3362.5,3350,3377.5,3332.5,3332.5,3370,3495,3500,3622.5,3495,3495,3697.5,3825,3600,3450,3497.5,3375,3345,3415,3235,3343,3375,3375,3465.5,3550,3572.5,3468
"60606","Chicago","IL","Chicago-Naperville-Elgin","Cook County",500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920.5,1901,1887,1955,1981.5,2004,1940,1959.5,1999,1955,1982,1958,2070,2039.5,1887,1940,2042,1959,1984,2042,2132,2165,2049,1990,2085.5
"02210","Boston","MA","Boston-Cambridge-Newton","Suffolk County",501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,3370.5,3473.5,3341,3117,3271.5,3065.5,3149,3149,3252,3200,3199,3150,3235,3300,3527,3504,3587.5,3500,3675,3711
"02109","Boston","MA","Boston-Cambridge-Newton","Suffolk County",502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2907.5,2675,2625,2625,2700,2800,2625,2700,2800,2830,2850,2850,2700,2700,2700,2625,2825,2850,2600,2500,2600,2723,2790
"10004","New York","NY","New York-Newark-Jersey City","New York County",503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3893.5,3620,3781,3595,3525,3691,3710,3800,4015,3588.5,3617.5,3722.5,3667,3892.5,3955,4100,4177,4155,4400,4347.5,3722
